	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.0436083	43	6	1	1	2	1	0	48	0	0	32.4904	 	0	0
UL	0.0441083	44	1	1	1	2	1	0	48	0	0	32.4814 	0	0
DL	0.0445083	44	5	1	1	2	1	0	1776	28	0	32.4814	 	0	0
UL	0.100312	100	3	1	2	2	1	0	100	0	0	32.5194 	0	0
DL	0.100708	100	7	1	1	2	1	0	48	0	0	32.5194	 	0	0
DL	0.103708	103	7	1	1	2	1	0	1776	28	0	32.5689	 	0	0
UL	0.104208	104	2	1	1	2	1	0	1776	28	0	32.4863 	0	0
DL	0.104608	104	6	1	1	2	1	0	1776	28	0	32.4863	 	0	0
DL	0.107608	107	6	1	1	2	1	0	1776	28	0	32.5993	 	0	0
UL	0.108112	108	1	1	2	2	1	0	3558	28	0	32.5022 	0	0
DL	0.108508	108	5	1	1	2	1	0	1776	28	0	32.5022	 	0	0
DL	0.111508	111	5	1	1	2	1	0	1776	28	0	32.5725	 	0	0
UL	0.112012	112	0	1	2	2	1	0	3558	28	0	32.5533 	0	0
DL	0.112408	112	4	1	1	2	1	0	1776	28	0	32.5533	 	0	0
DL	0.115408	115	4	1	1	2	1	0	1776	28	0	32.474	 	0	0
UL	0.115912	115	9	1	2	2	1	0	3558	28	0	32.474 	0	0
DL	0.116308	116	3	1	1	2	1	0	1776	28	0	32.4925	 	0	0
DL	0.119308	119	3	1	1	2	1	0	1776	28	0	32.5433	 	0	0
UL	0.119821	119	8	1	4	2	1	0	7120	28	0	32.5433 	0	0
DL	0.120208	120	2	1	1	2	1	0	1776	28	0	32.4504	 	0	0
DL	0.123208	123	2	1	1	2	1	0	1776	28	0	32.5392	 	0	0
UL	0.123729	123	7	1	6	2	1	0	10685	28	0	32.5392 	0	0
DL	0.124108	124	1	1	1	2	1	0	1776	28	0	32.5109	 	0	0
DL	0.127108	127	1	1	1	2	1	0	1776	28	0	32.5034	 	0	0
UL	0.127637	127	6	1	8	2	1	0	14247	28	0	32.5034 	0	0
DL	0.128008	128	0	1	1	2	1	0	1776	28	0	32.5546	 	0	0
DL	0.131008	131	0	1	1	2	1	0	1776	28	0	32.649	 	0	0
UL	0.13155	131	5	1	11	2	1	0	19592	28	0	32.649 	0	0
DL	0.131908	131	9	1	1	2	1	0	1776	28	0	32.649	 	0	0
DL	0.134908	134	9	1	1	2	1	0	1776	28	0	32.5071	 	0	0
UL	0.135467	135	4	1	15	2	1	0	26719	28	0	32.5659 	0	0
DL	0.135808	135	8	1	1	2	1	0	1776	28	0	32.5659	 	0	0
UL	0.136312	136	3	1	2	2	1	0	3558	28	0	32.5082 	0	0
DL	0.138808	138	8	1	1	2	1	0	1776	28	0	32.5063	 	0	0
UL	0.139392	139	3	1	21	2	1	0	37408	28	0	32.4589 	0	0
DL	0.139708	139	7	1	1	2	1	0	1776	28	0	32.4589	 	0	0
UL	0.140229	140	2	1	6	2	1	0	10685	28	0	32.5538 	0	0
DL	0.140608	140	6	1	1	2	1	0	1776	28	0	32.5538	 	0	0
DL	0.142708	142	7	1	1	2	1	0	1776	28	0	32.576	 	0	0
DL	0.142808	142	8	1	1	2	1	0	1776	28	0	32.576	 	0	0
UL	0.143229	143	2	1	6	2	1	0	10685	28	0	32.5285 	0	0
UL	0.143396	143	3	1	22	2	1	0	39187	28	0	32.5285 	0	0
UL	0.143429	143	4	1	6	2	1	0	10685	28	0	32.5285 	0	0
DL	0.143608	143	6	1	1	2	1	0	1776	28	0	32.5285	 	0	0
UL	0.14415	144	1	1	11	2	1	0	19592	28	0	32.4397 	0	0
DL	0.146608	146	6	1	1	2	1	0	1776	28	0	32.5365	 	0	0
DL	0.146708	146	7	1	1	2	1	0	1776	28	0	32.5365	 	0	0
DL	0.146808	146	8	1	1	2	1	0	1776	28	0	32.5365	 	0	0
UL	0.147146	147	1	1	10	2	1	0	17809	28	0	32.4911 	0	0
UL	0.14725	147	2	1	11	2	1	0	19592	28	0	32.4911 	0	0
UL	0.147396	147	3	1	22	2	1	0	39187	28	0	32.4911 	0	0
UL	0.147475	147	4	1	17	2	1	0	30281	28	0	32.4911 	0	0
DL	0.147508	147	5	1	1	2	1	0	1776	28	0	32.4911	 	0	0
DL	0.147708	147	7	1	1	2	1	0	1776	28	0	32.4911	 	0	0
UL	0.148079	148	0	1	18	2	1	0	32063	28	0	32.6185 	0	0
UL	0.148292	148	2	1	21	2	1	0	37408	28	0	32.6185 	0	0
DL	0.150508	150	5	1	1	2	1	0	1776	28	0	32.4727	 	0	0
DL	0.150608	150	6	1	1	2	1	0	1776	28	0	32.4727	 	0	0
DL	0.150708	150	7	1	1	2	1	0	1776	28	0	32.4727	 	0	0
DL	0.150808	150	8	1	1	2	1	0	1776	28	0	32.4727	 	0	0
UL	0.151058	151	0	1	13	2	1	0	23154	28	0	32.5098 	0	0
UL	0.151196	151	1	1	22	2	1	0	39187	28	0	32.5098 	0	0
UL	0.151296	151	2	1	22	2	1	0	39187	28	0	32.5098 	0	0
UL	0.151396	151	3	1	22	2	1	0	39187	28	0	32.5098 	0	0
DL	0.151408	151	4	1	1	2	1	0	1776	28	0	32.5098	 	0	0
UL	0.151496	151	4	2	21	2	1	0	37408	28	0	32.5098 	0	0
DL	0.151508	151	5	1	1	2	1	0	1776	28	0	32.5098	 	0	0
UL	0.151517	151	5	2	2	2	1	0	3558	28	0	32.5098 	0	0
UL	0.151892	151	8	1	21	2	1	0	37408	28	0	32.5098 	0	0
DL	0.154408	154	4	1	1	2	1	0	1776	28	0	32.6385	 	0	0
DL	0.154508	154	5	1	1	2	1	0	1776	28	0	32.6385	 	0	0
DL	0.154608	154	6	1	1	2	1	0	1776	28	0	32.6385	 	0	0
DL	0.154708	154	7	1	1	2	1	0	1776	28	0	32.6385	 	0	0
UL	0.154996	154	9	1	22	2	1	0	39187	28	0	32.6385 	0	0
UL	0.155096	155	0	1	22	2	1	0	39187	28	0	32.484 	0	0
UL	0.155196	155	1	1	22	2	1	0	39187	28	0	32.484 	0	0
DL	0.155208	155	2	1	1	2	1	0	1776	28	0	32.484	 	0	0
UL	0.155296	155	2	2	21	2	1	0	37408	28	0	32.484 	0	0
DL	0.155308	155	3	1	1	2	1	0	1776	28	0	32.484	 	0	0
UL	0.155396	155	3	2	21	2	1	0	37408	28	0	32.484 	0	0
UL	0.155496	155	4	1	22	2	1	0	39187	28	0	32.484 	0	0
DL	0.155508	155	5	1	1	2	1	0	1776	28	0	32.484	 	0	0
UL	0.155542	155	5	2	8	2	1	0	14247	28	0	32.484 	0	0
UL	0.155646	155	6	1	10	2	1	0	17809	28	0	32.484 	0	0
UL	0.155892	155	8	1	21	2	1	0	37408	28	0	32.484 	0	0
UL	0.15605	156	0	1	11	2	1	0	19592	28	0	32.4975 	0	0
DL	0.158308	158	3	1	1	2	1	0	1776	28	0	32.5655	 	0	0
DL	0.158408	158	4	1	1	2	1	0	1776	28	0	32.5655	 	0	0
DL	0.158508	158	5	1	1	2	1	0	1776	28	0	32.5655	 	0	0
DL	0.158608	158	6	1	1	2	1	0	1776	28	0	32.5655	 	0	0
DL	0.158708	158	7	1	1	2	1	0	1776	28	0	32.5655	 	0	0
DL	0.158808	158	8	1	1	2	1	0	1776	28	0	32.5655	 	0	0
UL	0.158817	158	8	2	2	2	1	0	3558	28	0	32.5655 	0	0
DL	0.158908	158	9	1	1	2	1	0	1776	28	0	32.5655	 	0	0
UL	0.158996	158	9	2	21	2	1	0	37408	28	0	32.5655 	0	0
DL	0.159008	159	0	1	1	2	1	0	1776	28	0	32.5567	 	0	0
UL	0.159096	159	0	2	21	2	1	0	37408	28	0	32.5567 	0	0
UL	0.159196	159	1	1	22	2	1	0	39187	28	0	32.5567 	0	0
DL	0.159208	159	2	1	1	2	1	0	1776	28	0	32.5567	 	0	0
UL	0.159296	159	2	2	21	2	1	0	37408	28	0	32.5567 	0	0
DL	0.159308	159	3	1	1	2	1	0	1776	28	0	32.5567	 	0	0
UL	0.159396	159	3	2	21	2	1	0	37408	28	0	32.5567 	0	0
UL	0.159496	159	4	1	22	2	1	0	39187	28	0	32.5567 	0	0
UL	0.159596	159	5	1	22	2	1	0	39187	28	0	32.5567 	0	0
UL	0.159696	159	6	1	22	2	1	0	39187	28	0	32.5567 	0	0
UL	0.159796	159	7	1	22	2	1	0	39187	28	0	32.5567 	0	0
UL	0.159808	159	8	1	1	2	1	0	1776	28	0	32.5567 	0	0
DL	0.162208	162	2	1	1	2	1	0	1776	28	0	32.5089	 	0	0
DL	0.162308	162	3	1	1	2	1	0	1776	28	0	32.5089	 	0	0
DL	0.162408	162	4	1	1	2	1	0	1776	28	0	32.5089	 	0	0
DL	0.162508	162	5	1	1	2	1	0	1776	28	0	32.5089	 	0	0
DL	0.162608	162	6	1	1	2	1	0	1776	28	0	32.5089	 	0	0
DL	0.162708	162	7	1	1	2	1	0	1776	28	0	32.5089	 	0	0
UL	0.162762	162	7	2	13	2	1	0	23154	28	0	32.5089 	0	0
DL	0.162808	162	8	1	1	2	1	0	1776	28	0	32.5089	 	0	0
UL	0.162871	162	8	2	15	2	1	0	26719	28	0	32.5089 	0	0
DL	0.162908	162	9	1	1	2	1	0	1776	28	0	32.5089	 	0	0
UL	0.162996	162	9	2	21	2	1	0	37408	28	0	32.5089 	0	0
DL	0.163008	163	0	1	1	2	1	0	1776	28	0	32.5853	 	0	0
UL	0.163096	163	0	2	21	2	1	0	37408	28	0	32.5853 	0	0
DL	0.163108	163	1	1	1	2	1	0	1776	28	0	32.5853	 	0	0
UL	0.163196	163	1	2	21	2	1	0	37408	28	0	32.5853 	0	0
UL	0.163296	163	2	1	22	2	1	0	39187	28	0	32.5853 	0	0
DL	0.163308	163	3	1	1	2	1	0	1776	28	0	32.5853	 	0	0
UL	0.163396	163	3	2	21	2	1	0	37408	28	0	32.5853 	0	0
UL	0.163496	163	4	1	22	2	1	0	39187	28	0	32.5853 	0	0
UL	0.163596	163	5	1	22	2	1	0	39187	28	0	32.5853 	0	0
UL	0.163696	163	6	1	22	2	1	0	39187	28	0	32.5853 	0	0
UL	0.163796	163	7	1	22	2	1	0	39187	28	0	32.5853 	0	0
UL	0.163896	163	8	1	22	2	1	0	39187	28	0	32.5853 	0	0
UL	0.163996	163	9	1	22	2	1	0	39187	28	0	32.5853 	0	0
UL	0.164096	164	0	1	22	2	1	0	39187	28	0	32.5261 	0	0
UL	0.164183	164	1	1	19	2	1	0	33843	28	0	32.5261 	0	0
DL	0.166108	166	1	1	1	2	1	0	1776	28	0	32.6106	 	0	0
DL	0.166208	166	2	1	1	2	1	0	1776	28	0	32.6106	 	0	0
DL	0.166308	166	3	1	1	2	1	0	1776	28	0	32.6106	 	0	0
DL	0.166408	166	4	1	1	2	1	0	1776	28	0	32.6106	 	0	0
DL	0.166508	166	5	1	1	2	1	0	1776	28	0	32.6106	 	0	0
DL	0.166608	166	6	1	1	2	1	0	1776	28	0	32.6106	 	0	0
UL	0.166696	166	6	2	21	2	1	0	37408	28	0	32.6106 	0	0
DL	0.166708	166	7	1	1	2	1	0	1776	28	0	32.6106	 	0	0
UL	0.166796	166	7	2	21	2	1	0	37408	28	0	32.6106 	0	0
DL	0.166808	166	8	1	1	2	1	0	1776	28	0	32.6106	 	0	0
UL	0.166896	166	8	2	21	2	1	0	37408	28	0	32.6106 	0	0
DL	0.166908	166	9	1	1	2	1	0	1776	28	0	32.6106	 	0	0
UL	0.166996	166	9	2	21	2	1	0	37408	28	0	32.6106 	0	0
DL	0.167008	167	0	1	1	2	1	0	1776	28	0	32.4769	 	0	0
UL	0.167096	167	0	2	21	2	1	0	37408	28	0	32.4769 	0	0
DL	0.167108	167	1	1	1	2	1	0	1776	28	0	32.4769	 	0	0
UL	0.167196	167	1	2	21	2	1	0	37408	28	0	32.4769 	0	0
DL	0.167208	167	2	1	1	2	1	0	1776	28	0	32.4769	 	0	0
UL	0.167296	167	2	2	21	2	1	0	37408	28	0	32.4769 	0	0
DL	0.167308	167	3	1	1	2	1	0	1776	28	0	32.4769	 	0	0
UL	0.167396	167	3	2	21	2	1	0	37408	28	0	32.4769 	0	0
DL	0.167408	167	4	1	1	2	1	0	1776	28	0	32.4769	 	0	0
UL	0.167496	167	4	2	21	2	1	0	37408	28	0	32.4769 	0	0
UL	0.167596	167	5	1	22	2	1	0	39187	28	0	32.4769 	0	0
UL	0.167696	167	6	1	22	2	1	0	39187	28	0	32.4769 	0	0
UL	0.167796	167	7	1	22	2	1	0	39187	28	0	32.4769 	0	0
UL	0.167896	167	8	1	22	2	1	0	39187	28	0	32.4769 	0	0
UL	0.167996	167	9	1	22	2	1	0	39187	28	0	32.4769 	0	0
UL	0.168096	168	0	1	22	2	1	0	39187	28	0	32.4616 	0	0
UL	0.168196	168	1	1	22	2	1	0	39187	28	0	32.4616 	0	0
DL	0.168208	168	2	1	1	2	1	0	1776	28	0	32.4616	 	0	0
UL	0.168287	168	2	2	19	2	1	0	33843	28	0	32.4616 	0	0
UL	0.168796	168	7	1	22	2	1	0	39187	28	0	32.4616 	0	0
UL	0.168896	168	8	1	22	2	1	0	39187	28	0	32.4616 	0	0
UL	0.168942	168	9	1	9	2	1	0	16030	28	0	32.4616 	0	0
DL	0.169308	169	3	1	1	2	1	0	1776	28	0	32.5396	 	0	0
DL	0.170008	170	0	1	1	2	1	0	1776	28	0	32.6097	 	0	0
DL	0.170108	170	1	1	1	2	1	0	1776	28	0	32.6097	 	0	0
DL	0.170208	170	2	1	1	2	1	0	1776	28	0	32.6097	 	0	0
DL	0.170308	170	3	1	1	2	1	0	1776	28	0	32.6097	 	0	0
DL	0.170408	170	4	1	1	2	1	0	1776	28	0	32.6097	 	0	0
DL	0.170508	170	5	1	1	2	1	0	1776	28	0	32.6097	 	0	0
UL	0.170583	170	5	2	18	2	1	0	32063	28	0	32.6097 	0	0
DL	0.170608	170	6	1	1	2	1	0	1776	28	0	32.6097	 	0	0
UL	0.170696	170	6	2	21	2	1	0	37408	28	0	32.6097 	0	0
DL	0.170708	170	7	1	1	2	1	0	1776	28	0	32.6097	 	0	0
UL	0.170796	170	7	2	21	2	1	0	37408	28	0	32.6097 	0	0
DL	0.170808	170	8	1	1	2	1	0	1776	28	0	32.6097	 	0	0
UL	0.170896	170	8	2	21	2	1	0	37408	28	0	32.6097 	0	0
DL	0.170908	170	9	1	1	2	1	0	1776	28	0	32.6097	 	0	0
UL	0.170996	170	9	2	21	2	1	0	37408	28	0	32.6097 	0	0
DL	0.171008	171	0	1	1	2	1	0	1776	28	0	32.6142	 	0	0
UL	0.171096	171	0	2	21	2	1	0	37408	28	0	32.6142 	0	0
DL	0.171108	171	1	1	1	2	1	0	1776	28	0	32.6142	 	0	0
UL	0.171196	171	1	2	21	2	1	0	37408	28	0	32.6142 	0	0
DL	0.171208	171	2	1	1	2	1	0	1776	28	0	32.6142	 	0	0
UL	0.171296	171	2	2	21	2	1	0	37408	28	0	32.6142 	0	0
DL	0.171308	171	3	1	1	2	1	0	1776	28	0	32.6142	 	0	0
UL	0.171396	171	3	2	21	2	1	0	37408	28	0	32.6142 	0	0
DL	0.171408	171	4	1	1	2	1	0	1776	28	0	32.6142	 	0	0
UL	0.171496	171	4	2	21	2	1	0	37408	28	0	32.6142 	0	0
DL	0.171508	171	5	1	1	2	1	0	1776	28	0	32.6142	 	0	0
UL	0.171596	171	5	2	21	2	1	0	37408	28	0	32.6142 	0	0
DL	0.171608	171	6	1	1	2	1	0	1776	28	0	32.6142	 	0	0
UL	0.171696	171	6	2	21	2	1	0	37408	28	0	32.6142 	0	0
DL	0.171708	171	7	1	1	2	1	0	1776	28	0	32.6142	 	0	0
UL	0.171796	171	7	2	21	2	1	0	37408	28	0	32.6142 	0	0
UL	0.171896	171	8	1	22	2	1	0	39187	28	0	32.6142 	0	0
UL	0.171996	171	9	1	22	2	1	0	39187	28	0	32.6142 	0	0
DL	0.172008	172	0	1	1	2	1	0	1776	28	0	32.5561	 	0	0
UL	0.172096	172	0	2	21	2	1	0	37408	28	0	32.5561 	0	0
UL	0.172196	172	1	1	22	2	1	0	39187	28	0	32.5561 	0	0
DL	0.172208	172	2	1	1	2	1	0	1776	28	0	32.5561	 	0	0
UL	0.172296	172	2	2	21	2	1	0	37408	28	0	32.5561 	0	0
DL	0.172308	172	3	1	1	2	1	0	1776	28	0	32.5561	 	0	0
UL	0.172396	172	3	2	21	2	1	0	37408	28	0	32.5561 	0	0
UL	0.172496	172	4	1	22	2	1	0	39187	28	0	32.5561 	0	0
UL	0.172596	172	5	1	22	2	1	0	39187	28	0	32.5561 	0	0
UL	0.172696	172	6	1	22	2	1	0	39187	28	0	32.5561 	0	0
UL	0.172796	172	7	1	22	2	1	0	39187	28	0	32.5561 	0	0
UL	0.172896	172	8	1	22	2	1	0	39187	28	0	32.5561 	0	0
UL	0.172996	172	9	1	22	2	1	0	39187	28	0	32.5561 	0	0
UL	0.173096	173	0	1	22	2	1	0	39187	28	0	32.6106 	0	0
DL	0.173108	173	1	1	1	2	1	0	1776	28	0	32.6106	 	0	0
UL	0.173187	173	1	2	19	2	1	0	33843	28	0	32.6106 	0	0
UL	0.173696	173	6	1	22	2	1	0	39187	28	0	32.6106 	0	0
UL	0.173796	173	7	1	22	2	1	0	39187	28	0	32.6106 	0	0
UL	0.173808	173	8	1	1	2	1	0	1776	28	0	32.6106 	0	0
DL	0.173908	173	9	1	1	2	1	0	1776	28	0	32.6106	 	0	0
DL	0.174008	174	0	1	1	2	1	0	1776	28	0	32.414	 	0	0
DL	0.174108	174	1	1	1	2	1	0	1776	28	0	32.414	 	0	0
DL	0.174212	174	2	1	2	2	1	0	3558	28	0	32.414	 	0	0
DL	0.174308	174	3	1	1	2	1	0	1776	28	0	32.414	 	0	0
DL	0.174408	174	4	1	1	2	1	0	1776	28	0	32.414	 	0	0
UL	0.174496	174	4	2	21	2	1	0	37408	28	0	32.414 	0	0
DL	0.174508	174	5	1	1	2	1	0	1776	28	0	32.414	 	0	0
UL	0.174596	174	5	2	21	2	1	0	37408	28	0	32.414 	0	0
DL	0.174608	174	6	1	1	2	1	0	1776	28	0	32.414	 	0	0
UL	0.174696	174	6	2	21	2	1	0	37408	28	0	32.414 	0	0
DL	0.174708	174	7	1	1	2	1	0	1776	28	0	32.414	 	0	0
UL	0.174796	174	7	2	21	2	1	0	37408	28	0	32.414 	0	0
DL	0.174808	174	8	1	1	2	1	0	1776	28	0	32.414	 	0	0
UL	0.174896	174	8	2	21	2	1	0	37408	28	0	32.414 	0	0
DL	0.174908	174	9	1	1	2	1	0	1776	28	0	32.414	 	0	0
UL	0.174996	174	9	2	21	2	1	0	37408	28	0	32.414 	0	0
DL	0.175008	175	0	1	1	2	1	0	1776	28	0	32.486	 	0	0
UL	0.175096	175	0	2	21	2	1	0	37408	28	0	32.486 	0	0
DL	0.175108	175	1	1	1	2	1	0	1776	28	0	32.486	 	0	0
UL	0.175196	175	1	2	21	2	1	0	37408	28	0	32.486 	0	0
DL	0.175212	175	2	1	2	2	1	0	3558	28	0	32.486	 	0	0
UL	0.175296	175	2	3	20	2	1	0	35625	28	0	32.486 	0	0
DL	0.175308	175	3	1	1	2	1	0	1776	28	0	32.486	 	0	0
UL	0.175396	175	3	2	21	2	1	0	37408	28	0	32.486 	0	0
DL	0.175408	175	4	1	1	2	1	0	1776	28	0	32.486	 	0	0
UL	0.175496	175	4	2	21	2	1	0	37408	28	0	32.486 	0	0
DL	0.175508	175	5	1	1	2	1	0	1776	28	0	32.486	 	0	0
UL	0.175596	175	5	2	21	2	1	0	37408	28	0	32.486 	0	0
DL	0.175608	175	6	1	1	2	1	0	1776	28	0	32.486	 	0	0
UL	0.175696	175	6	2	21	2	1	0	37408	28	0	32.486 	0	0
DL	0.175708	175	7	1	1	2	1	0	1776	28	0	32.486	 	0	0
UL	0.175796	175	7	2	21	2	1	0	37408	28	0	32.486 	0	0
DL	0.175808	175	8	1	1	2	1	0	1776	28	0	32.486	 	0	0
UL	0.175896	175	8	2	21	2	1	0	37408	28	0	32.486 	0	0
DL	0.175908	175	9	1	1	2	1	0	1776	28	0	32.486	 	0	0
UL	0.175996	175	9	2	21	2	1	0	37408	28	0	32.486 	0	0
DL	0.176008	176	0	1	1	2	1	0	1776	28	0	32.5936	 	0	0
UL	0.176096	176	0	2	21	2	1	0	37408	28	0	32.5936 	0	0
DL	0.176108	176	1	1	1	2	1	0	1776	28	0	32.5936	 	0	0
UL	0.176196	176	1	2	21	2	1	0	37408	28	0	32.5936 	0	0
DL	0.176212	176	2	1	2	2	1	0	3558	28	0	32.5936	 	0	0
UL	0.176296	176	2	3	20	2	1	0	35625	28	0	32.5936 	0	0
DL	0.176308	176	3	1	1	2	1	0	1776	28	0	32.5936	 	0	0
UL	0.176396	176	3	2	21	2	1	0	37408	28	0	32.5936 	0	0
DL	0.176408	176	4	1	1	2	1	0	1776	28	0	32.5936	 	0	0
UL	0.176496	176	4	2	21	2	1	0	37408	28	0	32.5936 	0	0
DL	0.176508	176	5	1	1	2	1	0	1776	28	0	32.5936	 	0	0
UL	0.176596	176	5	2	21	2	1	0	37408	28	0	32.5936 	0	0
DL	0.176608	176	6	1	1	2	1	0	1776	28	0	32.5936	 	0	0
UL	0.176696	176	6	2	21	2	1	0	37408	28	0	32.5936 	0	0
UL	0.176796	176	7	1	22	2	1	0	39187	28	0	32.5936 	0	0
UL	0.176896	176	8	1	22	2	1	0	39187	28	0	32.5936 	0	0
UL	0.176996	176	9	1	22	2	1	0	39187	28	0	32.5936 	0	0
UL	0.177096	177	0	1	22	2	1	0	39187	28	0	32.6294 	0	0
DL	0.177108	177	1	1	1	2	1	0	1776	28	0	32.6294	 	0	0
UL	0.177196	177	1	2	21	2	1	0	37408	28	0	32.6294 	0	0
DL	0.177208	177	2	1	1	2	1	0	1776	28	0	32.6294	 	0	0
UL	0.177296	177	2	2	21	2	1	0	37408	28	0	32.6294 	0	0
UL	0.177396	177	3	1	22	2	1	0	39187	28	0	32.6294 	0	0
UL	0.177492	177	4	1	21	2	1	0	37408	28	0	32.6294 	0	0
UL	0.177796	177	7	1	22	2	1	0	39187	28	0	32.6294 	0	0
DL	0.177808	177	8	1	1	2	1	0	1776	28	0	32.6294	 	0	0
UL	0.177896	177	8	2	21	2	1	0	37408	28	0	32.6294 	0	0
DL	0.177908	177	9	1	1	2	1	0	1776	28	0	32.6294	 	0	0
UL	0.177996	177	9	2	21	2	1	0	37408	28	0	32.6294 	0	0
DL	0.178008	178	0	1	1	2	1	0	1776	28	0	32.5025	 	0	0
UL	0.178096	178	0	2	21	2	1	0	37408	28	0	32.5025 	0	0
DL	0.178108	178	1	1	1	2	1	0	1776	28	0	32.5025	 	0	0
DL	0.178208	178	2	1	1	2	1	0	1776	28	0	32.5025	 	0	0
UL	0.178296	178	2	2	21	2	1	0	37408	28	0	32.5025 	0	0
DL	0.178308	178	3	1	1	2	1	0	1776	28	0	32.5025	 	0	0
UL	0.178396	178	3	2	21	2	1	0	37408	28	0	32.5025 	0	0
DL	0.178408	178	4	1	1	2	1	0	1776	28	0	32.5025	 	0	0
UL	0.178496	178	4	2	21	2	1	0	37408	28	0	32.5025 	0	0
DL	0.178508	178	5	1	1	2	1	0	1776	28	0	32.5025	 	0	0
UL	0.178596	178	5	2	21	2	1	0	37408	28	0	32.5025 	0	0
DL	0.178608	178	6	1	1	2	1	0	1776	28	0	32.5025	 	0	0
UL	0.178696	178	6	2	21	2	1	0	37408	28	0	32.5025 	0	0
DL	0.178708	178	7	1	1	2	1	0	1776	28	0	32.5025	 	0	0
UL	0.178796	178	7	2	21	2	1	0	37408	28	0	32.5025 	0	0
DL	0.178808	178	8	1	1	2	1	0	1776	28	0	32.5025	 	0	0
UL	0.178896	178	8	2	21	2	1	0	37408	28	0	32.5025 	0	0
DL	0.178908	178	9	1	1	2	1	0	1776	28	0	32.5025	 	0	0
UL	0.178996	178	9	2	21	2	1	0	37408	28	0	32.5025 	0	0
DL	0.179008	179	0	1	1	2	1	0	1776	28	0	32.5003	 	0	0
UL	0.179096	179	0	2	21	2	1	0	37408	28	0	32.5003 	0	0
DL	0.179108	179	1	1	1	2	1	0	1776	28	0	32.5003	 	0	0
UL	0.179196	179	1	2	21	2	1	0	37408	28	0	32.5003 	0	0
DL	0.179208	179	2	1	1	2	1	0	1776	28	0	32.5003	 	0	0
UL	0.179296	179	2	2	21	2	1	0	37408	28	0	32.5003 	0	0
DL	0.179308	179	3	1	1	2	1	0	1776	28	0	32.5003	 	0	0
UL	0.179396	179	3	2	21	2	1	0	37408	28	0	32.5003 	0	0
DL	0.179408	179	4	1	1	2	1	0	1776	28	0	32.5003	 	0	0
UL	0.179496	179	4	2	21	2	1	0	37408	28	0	32.5003 	0	0
DL	0.179508	179	5	1	1	2	1	0	1776	28	0	32.5003	 	0	0
UL	0.179596	179	5	2	21	2	1	0	37408	28	0	32.5003 	0	0
DL	0.179608	179	6	1	1	2	1	0	1776	28	0	32.5003	 	0	0
UL	0.179696	179	6	2	21	2	1	0	37408	28	0	32.5003 	0	0
DL	0.179708	179	7	1	1	2	1	0	1776	28	0	32.5003	 	0	0
UL	0.179796	179	7	2	21	2	1	0	37408	28	0	32.5003 	0	0
DL	0.179808	179	8	1	1	2	1	0	1776	28	0	32.5003	 	0	0
UL	0.179896	179	8	2	21	2	1	0	37408	28	0	32.5003 	0	0
DL	0.179908	179	9	1	1	2	1	0	1776	28	0	32.5003	 	0	0
UL	0.179996	179	9	2	21	2	1	0	37408	28	0	32.5003 	0	0
DL	0.180008	180	0	1	1	2	1	0	1776	28	0	32.5342	 	0	0
UL	0.180096	180	0	2	21	2	1	0	37408	28	0	32.5342 	0	0
DL	0.180108	180	1	1	1	2	1	0	1776	28	0	32.5342	 	0	0
UL	0.180196	180	1	2	21	2	1	0	37408	28	0	32.5342 	0	0
DL	0.180208	180	2	1	1	2	1	0	1776	28	0	32.5342	 	0	0
UL	0.180296	180	2	2	21	2	1	0	37408	28	0	32.5342 	0	0
DL	0.180308	180	3	1	1	2	1	0	1776	28	0	32.5342	 	0	0
UL	0.180396	180	3	2	21	2	1	0	37408	28	0	32.5342 	0	0
DL	0.180408	180	4	1	1	2	1	0	1776	28	0	32.5342	 	0	0
UL	0.180496	180	4	2	21	2	1	0	37408	28	0	32.5342 	0	0
DL	0.180508	180	5	1	1	2	1	0	1776	28	0	32.5342	 	0	0
UL	0.180596	180	5	2	21	2	1	0	37408	28	0	32.5342 	0	0
DL	0.180608	180	6	1	1	2	1	0	1776	28	0	32.5342	 	0	0
UL	0.180696	180	6	2	21	2	1	0	37408	28	0	32.5342 	0	0
DL	0.180708	180	7	1	1	2	1	0	1776	28	0	32.5342	 	0	0
UL	0.180796	180	7	2	21	2	1	0	37408	28	0	32.5342 	0	0
DL	0.180808	180	8	1	1	2	1	0	1776	28	0	32.5342	 	0	0
UL	0.180896	180	8	2	21	2	1	0	37408	28	0	32.5342 	0	0
DL	0.180908	180	9	1	1	2	1	0	1776	28	0	32.5342	 	0	0
UL	0.180996	180	9	2	21	2	1	0	37408	28	0	32.5342 	0	0
UL	0.181096	181	0	1	22	2	1	0	39187	28	0	32.5628 	0	0
UL	0.181196	181	1	1	22	2	1	0	39187	28	0	32.5628 	0	0
DL	0.181208	181	2	1	1	2	1	0	1776	28	0	32.5628	 	0	0
UL	0.181296	181	2	2	21	2	1	0	37408	28	0	32.5628 	0	0
DL	0.181308	181	3	1	1	2	1	0	1776	28	0	32.5628	 	0	0
UL	0.181396	181	3	2	21	2	1	0	37408	28	0	32.5628 	0	0
DL	0.181408	181	4	1	1	2	1	0	1776	28	0	32.5628	 	0	0
UL	0.181496	181	4	2	21	2	1	0	37408	28	0	32.5628 	0	0
